Marketing_authorisation_number,Procedure_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Decision_year,Orphan_drug_status,Indication_extended,Indication_requested,Indication_approved,Disease_class(es),Application_date,Application_year,Nonclinical_abridged,Referral_body,Document_name,Agency,Indications_and_usage,Origin,Referral,Marketing_authorisation_holder_extracted,Disease_name(s),DRUG_CODE
anda205634,,morphine sulfate,morphine sulfate,sun pharm industries,,tablet,oral,approved,discontinued,25.08.2016,2016,no,,,,,,,yes,,,FDA,,fda,no,sun,,
anda205643,,acetylcysteine,acetylcysteine,exela pharma,,solution,inhalation; oral,approved,discontinued,01.11.2023,2023,no,,,,,,,yes,,,FDA,,fda,no,exela,,
anda205646,,tolvaptan,tolvaptan,hetero labs ltd v,,tablet,oral,approved,authorised,06.09.2022,2022,no,,,,,,,yes,,,FDA,,fda,no,hetero,,
anda205647,,ibuprofen,ibuprofen,pai holdings pharm,,suspension,oral,approved,discontinued,03.11.2016,2016,no,,,,,,,yes,,,FDA,,fda,no,pai,,
anda205648,,palonosetron hydrochloride,palonosetron hydrochloride,qilu pharm hainan,,injectable,intravenous,approved,authorised,19.09.2018,2018,no,,,,,,,yes,,,FDA,,fda,no,qilu,,
anda205650,,pyridostigmine bromide,pyridostigmine bromide,zydus pharms,,tablet,oral,approved,authorised,22.06.2015,2015,no,,,,,,,yes,,,FDA,,fda,no,zydus,,
anda205651,,nevirapine,nevirapine,mylan,,tablet,oral,approved,authorised,27.10.2014,2014,no,,,,,,,yes,,,FDA,,fda,no,mylan,,
anda205654,,mesalamine,mesalamine,actavis mid atlantic,,suppository,rectal,approved,authorised,14.08.2020,2020,no,,,,,,,yes,,,FDA,,fda,no,actavis,,
anda205656,,rocuronium bromide,rocuronium bromide,gland,,injectable,injection,approved,authorised,04.04.2018,2018,no,,,,,,,yes,,,FDA,,fda,no,gland,,
anda205657,,"hydrocodone bitartrate, chlorpheniramine maleate and pseudoephedrine hydrochloride",chlorpheniramine maleate,mayne pharma inc,,solution,oral,approved,discontinued,03.08.2015,2015,no,,,,,,,yes,,,FDA,,fda,no,mayne,,
anda205658,,hydrocodone bitartrate and pseudoephedrine hydrochloride,hydrocodone bitartrate,mayne pharma inc,,solution,oral,approved,discontinued,17.11.2015,2015,no,,,,,,,yes,,,FDA,,fda,no,mayne,,
anda205659,,acyclovir,acyclovir,padagis israel,,ointment,topical,approved,discontinued,20.02.2019,2019,no,,,,,,,yes,,,FDA,,fda,no,padagis,,
anda205660,,enoxaparin sodium (preservative free),enoxaparin sodium,shenzhen techdow,,injectable,subcutaneous,approved,authorised,15.03.2023,2023,no,,,,,,,yes,,,FDA,,fda,no,techdow,,
anda205661,,methenamine hippurate,methenamine hippurate,aurobindo pharma ltd,,tablet,oral,approved,authorised,05.07.2016,2016,no,,,,,,,yes,,,FDA,,fda,no,aurobindo,,
anda205663,,lithium carbonate,lithium carbonate,unique,,tablet,oral,approved,authorised,05.06.2017,2017,no,,,,mental and behavioural disorders,,,yes,,,FDA,"indications and usage lithium carbonate extended-release tablets is indicated in the treatment of manic episodes of manic-depressive illness. maintenance therapy prevents or diminishes the intensity of subsequent episodes in those manic-depressive patients with a history of mania. typical symptoms of mania include pressure of speech, motor hyperactivity, reduced need for sleep, flight of ideas, grandiosity, elation, poor judgment, aggressiveness and possibly hostility. when given to a patient experiencing a manic episode, lithium carbonate extended-release tablets may produce a normalization of symptomatology within 1 to 3 weeks.",fda,no,not reported,<manic-depressive illness>,
anda205666,,azithromycin,azithromycin,amneal,,suspension,oral,approved,authorised,19.07.2018,2018,no,,,,,,,yes,,,FDA,,fda,no,amneal,,
anda205670,,fosinopril sodium,fosinopril sodium,prinston inc,,tablet,oral,approved,authorised,29.08.2016,2016,no,,,,diseases of the circulatory system,,,yes,,,FDA,"indications and usage fosinopril sodium tablets are indicated for the treatment of hypertension. they may be used alone or in combination with thiazide diuretics. fosinopril sodium tablets are indicated in the management of heart failure as adjunctive therapy when added to conventional therapy including diuretics with or without digitalis (see dosage and administration ). in using fosinopril sodium, consideration should be given to the fact that another angiotensin-converting enzyme inhibitor, captopril, has caused agranulocytosis, particularly in patients with renal impairment or collagen-vascular disease. available data are insufficient to show that fosinopril sodium does not have a similar risk (see warnings ). in considering use of fosinopril sodium, it should be noted that in controlled trials ace inhibitors have an effect on blood pressure that is less in black patients than in non-blacks. in addition, ace inhibitors (for which adequate data are available) cause a higher rate of angioedema in black than in non-black patients (see warnings , head and neck angioedema and intestinal angioedema ).",fda,no,prinston,<hypertension>; <heart failure>,
anda205672,,busulfan,busulfan,hospira,,injectable,injection,approved,authorised,31.07.2018,2018,no,,,,neoplasms; diseases of the blood and blood-forming organs,,,yes,,,FDA,1 indications and usage busulfan injection is indicated for use in combination with cyclophosphamide as a conditioning regimen prior to allogeneic hematopoietic progenitor cell transplantation for chronic myelogenous leukemia. busulfan injection is an alkylating drug indicated for: use in combination with cyclophosphamide as a conditioning regimen prior to allogeneic hematopoietic progenitor cell transplantation for chronic myelogenous leukemia (cml). ( 1 ),fda,no,hospira,"<leukemia, myelogenous, chronic, bcr-abl positive>",
anda205673,,dextroamphetamine sulfate,dextroamphetamine sulfate,strides pharma,,capsule,oral,approved,authorised,31.10.2017,2017,no,,,,,,,yes,,,FDA,,fda,no,strides,,
anda205675,,pantoprazole sodium,pantoprazole sodium,eugia pharma,,injectable,intravenous,approved,authorised,30.03.2016,2016,no,,,,,,,yes,,,FDA,,fda,no,eugia,,
anda205682,,dronedarone hydrochloride,dronedarone hydrochloride,watson labs inc,,tablet,oral,conditional marketing authorisation,none (conditional marketing authorisation),31.12.2015,2015,no,,,,,,,yes,,,FDA,,fda,no,watson,,
anda205683,,montelukast sodium,montelukast sodium,anbison lab,,tablet,oral,approved,authorised,12.01.2016,2016,no,,,,diseases of the respiratory system,,,yes,,,FDA,"1 indications and usage montelukast sodium tablets are a leukotriene receptor antagonist indicated for: prophylaxis and chronic treatment of asthma in patients 15 years of age and older ( 1.1 ). acute prevention of exercise-induced bronchoconstriction (eib) in patients 15 years of age and older ( 1.2 ). relief of symptoms of allergic rhinitis (ar): seasonal allergic rhinitis (sar) in patients 15 years of age and older, and perennial allergic rhinitis (par) in patients 15 years of age and older. reserve use for patients who have an inadequate response or intolerance to alternative therapies ( 1.3 ). limitations of use: not indicated to treat an acute asthma attack ( 5.2 ). 1.1 asthma montelukast sodium tablets are indicated for the prophylaxis and chronic treatment of asthma in adults and pediatric patients 15 years of age and older. 1.2 exercise-induced bronchoconstriction (eib) montelukast sodium tablets are indicated for prevention of exercise-induced bronchoconstriction (eib) in patients 15 years of age and older. 1.3 allergic rhinitis montelukast sodium tablets are indicated for the relief of symptoms of seasonal allergic rhinitis in patients 15 years of age and older and perennial allergic rhinitis in patients 15 years of age and older. because the benefits of montelukast sodium tablet may not outweigh the risk of neuropsychiatric symptoms in patients with allergic rhinitis [see warnings and precautions (5.1)] , reserve use for patients who have an inadequate response or intolerance to alternative therapies. 1.4 limitations of use montelukast sodium tablets are not indicated for the treatment of an acute asthma attack.",fda,no,anbison,<asthma>; <bronchoconstriction>; <rhinitis>,
anda205685,,tobramycin sulfate,tobramycin sulfate,xellia pharms aps,,injectable,injection,approved,authorised,16.09.2014,2014,no,,,,,,,yes,,,FDA,,fda,no,xellia,,
anda205687,,ammonia n 13,ammonia n-13,essential isotopes,,injectable,intravenous,approved,discontinued,17.12.2015,2015,no,,,,,,,yes,,,FDA,,fda,no,essential isotopes,,
anda205689,,guanfacine hydrochloride,guanfacine hydrochloride,sun pharm,,tablet,oral,approved,authorised,16.11.2017,2017,no,,,,,,,yes,,,FDA,,fda,no,sun,,
anda205690,,choline c-11,choline c-11,univ tx md anderson,,injectable,intravenous,approved,discontinued,29.10.2015,2015,no,,,,,,,yes,,,FDA,,fda,no,not reported,,
anda205694,,vancomycin hydrochloride,vancomycin hydrochloride,gland,,injectable,injection,approved,authorised,21.01.2016,2016,no,,,,infectious and parasitic diseases; diseases of the circulatory system; diseases of the musculoskeletal system and connective tissue; diseases of the respiratory system; diseases of the skin; diseases of the digestive system,,,yes,,,FDA,"indications and usage vancomycin hydrochloride for injection, usp is indicated for the treatment of serious or severe infections caused by susceptible strains of methicillin-resistant (β-lactam-resistant) staphylococci. it is indicated for penicillin-allergic patients, for patients who cannot receive or who have failed to respond to other drugs, including the penicillins or cephalosporins, and for infections caused by vancomycin-susceptible organisms that are resistant to other antimicrobial drugs. vancomycin hydrochloride for injection, usp is indicated for initial therapy when methicillin-resistant staphylococci are suspected, but after susceptibility data are available, therapy should be adjusted accordingly. vancomycin hydrochloride for injection, usp is effective in the treatment of staphylococcal endocarditis. its effectiveness has been documented in other infections due to staphylococci, including septicemia, bone infections, lower respiratory tract infections, skin and skin structure infections. when staphylococcal infections are localized and purulent, antibiotics are used as adjuncts to appropriate surgical measures. vancomycin hydrochloride for injection, usp has been reported to be effective alone or in combination with an aminoglycoside for endocarditis caused by s. viridans or s. bovis. for endocarditis caused by enterococci (e.g., e. faecalis), vancomycin has been reported to be effective only in combination with an aminoglycoside. vancomycin hydrochloride for injection, usp has been reported to be effective for the treatment of diphtheroid endocarditis. vancomycin hydrochloride for injection, usp has been used successfully in combination with either rifampin, an aminoglycoside, or both in early-onset prosthetic valve endocarditis caused by s. epidermidis or diphtheroids. specimens for bacteriologic cultures should be obtained in order to isolate and identify causative organisms and to determine their susceptibilities to vancomycin. to reduce the development of drug-resistant bacteria and maintain the effectiveness of vancomycin hydrochloride for injection, usp and other antibacterial drugs, vancomycin hydrochloride for injection, usp should be used only to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. when culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. in the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy . the parenteral form of vancomycin hydrochloride may be administered orally for treatment of antibiotic-associated pseudomembranous colitis produced by c. difficile and for staphylococcal enterocolitis. parenteral administration of vancomycin hydrochloride alone is of unproven benefit for these indications. vancomycin is not effective by the oral route for other types of infections.",fda,no,gland,<endocarditis>; <septicemia>; <bone infections>; <respiratory tract infections>; <skin diseases>; <colitis>; <enterocolitis>,
